id,name
0001,ألف باء للتصميم
0002,دار ملهمون للنشر والتوزيع
0003,AC EDITIONS
0004,ميارة
0005,مدارك
0006,مركز الادب
0007,مؤسسة الفرسان
0008,مكتبة المنار
0009,مكتبة جرير
0010,BIBLIOMANIA
0011,BUILDERS VISION
0012,BV EDITION
0013,المتوسطية للنشر
0014,المحروسة
0015,المركزالعربي الثقافي
0016,المستقبل الرقمي
0017,الابداع الفكري
0018,الاسرة العربية
0019,الافريقية
0020,الأهلية للنشر والتوزيع
0021,الدار العربية للعلوم ناشرون
0022,الراية توب للنشر والتوزيع
0023,دار الرافدين للطباعة والنشر والتوزيع
0024,الرواق
0025,الشبكة العربية
0026,الشروق
0027,الصفحة 7
0028,العبيكان
0029,الوراق
0030,الكرمة
0031,مركز إبصار للنشر
0032,DAR BEN SOLTANA
0033,DIGITAL FUTUR
0034,تشكيل
0035,دار ثقافة للنشر والتوزيع
0036,تكوين
0037,جمعية مبدعون
0038,دار المالكية
0039,دار المازري
0040,دار المعارف
0041,دار المعرفة للنشر والتوزيع
0042,دار الاداب
0043,دار الافريقية
0044,دار البشير
0045,دار التنوير
0046,شركة دار الخيال للطباعة والنشر والتوزيع
0047,دار السلام
0048,دار الشروق
0049,دار الغوثاني
0050,دار الفرقد
0051,دار الفكر العربي للطباعة والنشر
0052,دار الطفل الذكي
0053,دار القمري
0054,دار ابن خلدون
0055,دار تحسين
0056,دار دون
0057,دار صفصاف
0058,دار الولاء للطباعة والنشر والتوزيع
0059,نحن للإبداع و النشر و التوزيع
0060,دار نينوى
0061,جبل عمان
0062,كتبكم
0063,LE LIBRERI
0064,دار سما للنشر والتوزيع
0065,سلسلة عوالم
0066,زحمة
0067,شركة المطبوعات
0068,سوتيميديا
0069,POP LIBRIS
0070,SAMS
0071,SMART MIND
0072,SOTUPRESSE
0073,دار علاء الدين للنشر والتوزيع والترجمة
0074,عصير الكتب
0075,ناشرون
0076,دار نوفل
0077, دارنقوش عربية
0078,قرطاج
0079,دار كلمات للنشر و التوزيع
0080,كلمة
0081,كيان
0082,كنوز
0083,يافا للبحوث والدراسات والنشر والتوزيع
0084,المكتبة العصرية للطباعة والنشر
0085,المركز القومي للترجمة
0086,عويدات للنشر والطباعة
0087,دار الفاروق للاستثمارات الثقافية
0088,دار سراس للنشر
0089,قرطبة للنشر والتوزيع
0090,المغاربية لطباعة و اشهار الكتاب 
0100,دار العلوم للطباعة والنشر والتوزيع
0101,مكتبة العبيكان
0102,دار زينب للنشر والتوزيع
0103,دار إرفاء للنشر والتوزيع
0104,بيت الحكمة
0105,دار الحضارة للنشر والتوزيع
0106,دار الكتب العلمية
0107,يمام
0108,دار الأرقم
0109,scolastic discover more
0110,دار إحياء التراث العربي
0111,دار الكتاب العربي
0112,دار القلم للطباعة والنشر والتوزيع
0113,دار الأمينة للنشر والتوزيع
0114,دار الشمال
0115,دار الوهيبي للنشر والتوزيع
0116,مؤسسة زحمة كتاب للثقافة والنش
0117, دار التنوع الثقافي
0118,Yossra Amami
0119, دار التقوي للنشر و التوزيع
0120,دار الطاهر ينجلون للنشر
0121,دار ديوان
0122,Atria Books
0123, راندوم هاوس للنشر والتوزيع
0124,دار المؤلف للطباعة والنشر والتوزيع
0125,دار سؤال للنشر
0126,اقلام عربية للنشر والتوزيع
0127,دار الكتاب الجديد المتحدة
0128,Contraste Edition
0129,pocket
0130,عفيفة شقرون
0131,Asma ahweli
0132,يسر للنشر